,repo_name,repo_lang
0,05-primeiro-projeto-react,TypeScript
1,challenge-chart-plot,JavaScript
2,ConceitosOOP,Java
3,cookin-up,Vue
4,CursoJavaSpring,Java
5,desafio-wordpress,CSS
6,django_template,JavaScript
7,escola,Python
8,ExerciciosJava,Java
9,gostack-template-conceitos-nodejs,JavaScript
10,gostack-template-conceitos-react-native,JavaScript
11,gostack-template-conceitos-reactjs,JavaScript
12,gostack-template-fundamentos-node,JavaScript
13,gostack-template-fundamentos-react-native,TypeScript
14,gostack-template-fundamentos-reactjs,TypeScript
15,gostack-template-react-native-delivery,TypeScript
16,gostack-template-reactjs-crud,TypeScript
17,gostack-template-typeorm-relations,TypeScript
18,gostack-template-typeorm-upload,TypeScript
19,gostack11-nivel-2,TypeScript
20,html-importer,JavaScript
21,https-github.com-ebs007-gostack-template-conceitos-nodejs,JavaScript
22,ivory-technical-challenge,TypeScript
23,JavaEstudo,Java
24,Knights-Challenge,
25,memoteca,HTML
26,MK-S,HTML
27,nextjs-curso,JavaScript
28,OmniStack-Week-11,JavaScript
29,pagamentos,Java
30,pep8,Python
31,planner,Java
32,pos-ead-portal,
33,python-automacoes-1,Python
34,python-automacoes-2,Python
35,python-chatbotia,Python
36,react-redux,JavaScript
37,sabor-expresso,Python
38,screenmatch,Java
39,TabelaFipe,Java
40,testedev,HTML
41,tracker,
42,TwinStickShooter,C++
43,typeorm-model-generator,
44,video-to-txt,Python
